block_size,nucleophilic,hydrophobic,aromatic,acidic,amide,basic
1.0,0.692167577413479,0.7912621359223301,0.9212121212121213,0.6553911205073996,0.9317073170731708,0.8703071672354948
2.0,0.19489981785063754,0.16747572815533981,0.07878787878787878,0.23678646934460887,0.05853658536585366,0.10921501706484642
3.0,0.08196721311475409,0.02669902912621359,0.0,0.07188160676532769,0.00975609756097561,0.013651877133105802
4.0,0.01639344262295082,0.012135922330097087,0.0,0.023255813953488372,0.0,0.006825938566552901
5.0,0.00546448087431694,0.0024271844660194173,0.0,0.008456659619450317,0.0,0.0
6.0,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0
7.0,0.0018214936247723133,0.0,0.0,0.004228329809725159,0.0,0.0
8.0,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0018214936247723133,0.0,0.0,0.0,0.0,0.0
